variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size
large_tx_count,price_change_30d,3,,,,,1032
large_tx_count,price_change_30d,7,,,,,1028
large_tx_count,volatility_7d,0,,,,,1056
large_tx_count,volatility_7d,1,,,,,1056
large_tx_count,volatility_7d,2,,,,,1056
large_tx_count,volatility_7d,3,,,,,1056
large_tx_count,volatility_7d,7,,,,,1056
large_tx_count,price_direction_1d,0,,,,,1063
large_tx_count,price_direction_1d,1,,,,,1062
large_tx_count,price_direction_1d,2,,,,,1061
large_tx_count,price_direction_1d,3,,,,,1060
large_tx_count,price_direction_1d,7,,,,,1056
large_tx_count,price_direction_7d,0,,,,,1063
large_tx_count,price_direction_7d,1,,,,,1062
large_tx_count,price_direction_7d,2,,,,,1061
large_tx_count,price_direction_7d,3,,,,,1060
large_tx_count,price_direction_7d,7,,,,,1056
sum_open_interest,price_static,0,-0.41355206095448915,3.6027709230520796e-45,-0.3821932515523977,2.650951553017306e-38,1063
sum_open_interest,price_static,1,-0.4161406814188813,9.948540956884667e-46,-0.3859289466505537,4.774793256220535e-39,1062
sum_open_interest,price_static,2,-0.41852017322048074,3.046287429653552e-46,-0.389156633475359,1.0805190940026493e-39,1061
sum_open_interest,price_static,3,-0.4208173689924266,9.67766849472528e-47,-0.39148675765096635,3.749061508326313e-40,1060
sum_open_interest,price_static,7,-0.4293812055587731,1.297730042228675e-48,-0.39883129315068483,1.3705610919149322e-41,1056
sum_open_interest,price_change_1d,0,-0.0225386963129341,0.46290417339710854,-0.02418262944985494,0.43091300605660654,1063
sum_open_interest,price_change_1d,1,-0.020393020716798053,0.506779207231258,-0.014701459240902229,0.6322532300481443,1062
sum_open_interest,price_change_1d,2,-0.0189574421848897,0.537348045913949,-0.007689781669332083,0.8024422275447427,1061
sum_open_interest,price_change_1d,3,-0.013365563364366563,0.6638112680293177,-0.01076926040265102,0.7261749654960229,1060
sum_open_interest,price_change_1d,7,-0.0024006445719606338,0.937892140850689,-0.006229682969055731,0.8397580790415393,1056
sum_open_interest,price_change_7d,0,-0.037242761623846446,0.2261331397209917,-0.044606799138935394,0.14707859865097286,1058
sum_open_interest,price_change_7d,1,-0.029708344147568306,0.33457784620740744,-0.031192689370820405,0.31097951707027727,1057
sum_open_interest,price_change_7d,2,-0.023564784636618027,0.4442928961474692,-0.020905882015370237,0.49737213114417644,1056
sum_open_interest,price_change_7d,3,-0.010614818000408465,0.7305617546761997,-0.018518091812376423,0.5479597258025303,1055
sum_open_interest,price_change_7d,7,0.02666848205107056,0.38775613770353295,0.0038296989438415365,0.9013087676063242,1051
sum_open_interest,price_change_30d,0,-0.01975669356244566,0.5254970870730034,-0.011944867758872144,0.7011024996510209,1035
sum_open_interest,price_change_30d,1,-0.024014792821105236,0.4404735724674907,-0.01121696219203794,0.7186480473260437,1034
sum_open_interest,price_change_30d,2,-0.02549276721034288,0.41307937440771153,-0.01050498959449767,0.735940345028769,1033
sum_open_interest,price_change_30d,3,-0.026615222483822518,0.3930370326258702,-0.012218608304917838,0.6950148021517983,1032
sum_open_interest,price_change_30d,7,-0.03412105946260707,0.2743974662104822,-0.024360557492209438,0.43525879636354015,1028
sum_open_interest,volatility_7d,0,-0.255055580628176,3.825772513671273e-17,-0.27210719969929037,2.209047623106319e-19,1056
sum_open_interest,volatility_7d,1,-0.23519634376582116,9.725749330451705e-15,-0.24783020626892657,3.038147791426226e-16,1056
sum_open_interest,volatility_7d,2,-0.2157308298676205,1.3832749721626528e-12,-0.22688132599436933,8.55105215262405e-14,1056
sum_open_interest,volatility_7d,3,-0.21050348685021547,4.845841722294944e-12,-0.21488186156955788,1.6993972756564105e-12,1056
sum_open_interest,volatility_7d,7,-0.16150497051161747,1.3149347943658946e-07,-0.1769577485343136,7.064566145330612e-09,1056
sum_open_interest,price_direction_1d,0,-0.03249426052227806,0.2898432586634982,-0.03305250970378106,0.28163229923395744,1063
sum_open_interest,price_direction_1d,1,-0.04259615634349763,0.1654012329547603,-0.02957201014330195,0.33565873928618173,1062
sum_open_interest,price_direction_1d,2,-0.03600089400960478,0.24133581726833644,-0.031917134185229026,0.29895554890284076,1061
