variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size,pearson_pvalue_fdr,is_significant_fdr,r_squared,coefficient,intercept
whale_to_whale_usd,price_change_7d,7,-0.0790230464410834,0.19802360428282512,-0.1262082513920311,0.039319096728638266,267,0.19802360428282512,False,,,
whale_to_whale_usd,price_change_7d,14,,,,,260,,False,,,
whale_to_whale_usd,volatility_1d,0,-0.02510464627304824,0.6790782415382468,-0.03519774140242991,0.5618185075821541,274,0.6790782415382468,False,,,
whale_to_whale_usd,volatility_1d,1,-0.02220801028317521,0.7148890109552063,-0.022332661289321664,0.7133588334001968,273,0.7148890109552063,False,,,
whale_to_whale_usd,volatility_1d,3,0.041627345225952475,0.494985506678169,0.0607348470679887,0.3191917952760866,271,0.494985506678169,False,,,
whale_to_whale_usd,volatility_1d,7,0.015071582397985662,0.8063556497511462,0.08442026328186232,0.16900036336786775,267,0.8063556497511462,False,,,
whale_to_whale_usd,volatility_1d,14,,,,,260,,False,,,
whale_to_whale_usd,volatility_7d,0,0.046965846130070314,0.4387555524013551,0.10030327588725278,0.09753862972203957,274,0.4387555524013551,False,,,
whale_to_whale_usd,volatility_7d,1,0.043532979599185354,0.47379244811401605,0.10299856927553232,0.08940830488091073,273,0.47379244811401605,False,,,
whale_to_whale_usd,volatility_7d,3,0.046339011229154334,0.44742286388009317,0.10910960572510098,0.07293685969402043,271,0.44742286388009317,False,,,
whale_to_whale_usd,volatility_7d,7,0.03826064440239566,0.5336270541994227,0.08794516176372827,0.15183735793264289,267,0.5336270541994227,False,,,
whale_to_whale_usd,volatility_7d,14,,,,,260,,False,,,
whale_to_whale_usd,price_direction_1d,0,0.06017536378207016,0.32099004565553607,0.08512508198315509,0.15996751786659222,274,0.32099004565553607,False,,,
whale_to_whale_usd,price_direction_1d,1,0.06050550144623181,0.31923037640498253,0.08559267272805333,0.15844422321451376,273,0.31923037640498253,False,,,
whale_to_whale_usd,price_direction_1d,3,-0.060727543276332716,0.31925010292022293,-0.08590794079675637,0.1584527080058524,271,0.31925010292022293,False,,,
whale_to_whale_usd,price_direction_1d,7,0.061450231829908955,0.317146128383879,0.0006507448985966043,0.9915558488506246,267,0.317146128383879,False,,,
whale_to_whale_usd,price_direction_1d,14,,,,,260,,False,,,
whale_to_whale_usd,price_direction_7d,0,-0.06473814581855696,0.28559787361358996,-0.0915796702152072,0.13049255959844272,274,0.28559787361358996,False,,,
whale_to_whale_usd,price_direction_7d,1,-0.06463454713379692,0.2872603339020511,-0.09143372928931495,0.1318210328754455,273,0.2872603339020511,False,,,
whale_to_whale_usd,price_direction_7d,3,-0.06490343280592224,0.28704362271213957,-0.0918153437827353,0.1316387482445463,271,0.28704362271213957,False,,,
whale_to_whale_usd,price_direction_7d,7,-0.06594571164552299,0.28296823653523495,-0.09329237902189819,0.1283662965446491,267,0.28296823653523495,False,,,
whale_to_whale_usd,price_direction_7d,14,,,,,260,,False,,,
whale_to_whale_usd,price_range,0,-0.020098851399328647,0.740487615756264,0.041544096754216955,0.49345178905506903,274,0.740487615756264,False,,,
whale_to_whale_usd,price_range,1,-0.06508382097899065,0.283916136482688,-0.07380998461167726,0.22413577817704805,273,0.283916136482688,False,,,
whale_to_whale_usd,price_range,3,0.04861080081912967,0.4254469075801682,-0.0018261532400406432,0.9761281896495806,271,0.4254469075801682,False,,,
whale_to_whale_usd,price_range,7,-0.041540950559571306,0.49910931200268277,0.004187663825162888,0.9457010585129,267,0.49910931200268277,False,,,
whale_to_whale_usd,price_range,14,,,,,260,,False,,,
active_addresses,price_static,0,0.13464878977577097,0.02582695657390714,0.32522747962010545,3.601389480317024e-08,274,0.02582695657390714,True,0.018130296588079964,107.77130077273551,103160.88311732127
active_addresses,price_static,1,0.142155762430266,0.018775026537431738,0.3358103111600177,1.2771337405780635e-08,273,0.018775026537431738,True,0.020208260792130006,113.6153320856581,103156.64764776523
active_addresses,price_static,3,0.11949375206741132,0.04940625234226733,0.3439470496926634,6.090153375503813e-09,271,0.04940625234226733,True,0.01427875678314805,95.39080746673204,103346.83424138108
active_addresses,price_static,7,0.11834291299176364,0.053426316488156385,0.3282105705339919,4.003604306583563e-08,267,0.053426316488156385,False,,,
active_addresses,price_static,14,0.08395223378536845,0.17716033932331451,0.2676542044571538,1.213853262045315e-05,260,0.17716033932331451,False,,,
active_addresses,price_change_1d,0,0.041415887214760805,0.494787710755612,0.06381706814565657,0.29252231824318836,274,0.494787710755612,False,,,
active_addresses,price_change_1d,1,-0.02450446303560809,0.6868872036441938,0.03701928442430475,0.5424838606043695,273,0.6868872036441938,False,,,
active_addresses,price_change_1d,3,-0.0329945279309895,0.5886488373445785,0.00689274723122649,0.9100735361631185,271,0.5886488373445785,False,,,
active_addresses,price_change_1d,7,-0.0412775879560471,0.501836377300082,0.01741061185336735,0.7770400540041636,267,0.501836377300082,False,,,
active_addresses,price_change_1d,14,-0.04742391703972813,0.4463992717050493,-0.04370212936737072,0.482918938278585,260,0.4463992717050493,False,,,
active_addresses,price_change_7d,0,-0.01708326674891775,0.7783222018978936,0.06490212128354282,0.2843767951641575,274,0.7783222018978936,False,,,
active_addresses,price_change_7d,1,-0.07070835352050266,0.2442655664913499,0.010386722880351706,0.8643543068693035,273,0.2442655664913499,False,,,
active_addresses,price_change_7d,3,-0.023450653854639503,0.7007450685875647,-0.10726281175476335,0.07795186273425243,271,0.7007450685875647,False,,,
active_addresses,price_change_7d,7,-0.002174262490751154,0.9717918064515182,-0.11018471985361698,0.0722621927791333,267,0.9717918064515182,False,,,
active_addresses,price_change_7d,14,-0.15394802907191757,0.012947527767015493,-0.15248128030008365,0.013845417775041073,260,0.012947527767015493,True,0.023699995655128037,-0.0005424670324336719,0.0026220501239009398
active_addresses,volatility_1d,0,0.009162533881162517,0.8799940771436873,-0.05410503061704958,0.3723088255989805,274,0.8799940771436873,False,,,
active_addresses,volatility_1d,1,-0.01689254076268464,0.7811277156589704,-0.05718771603866852,0.3465351791233111,273,0.7811277156589704,False,,,
active_addresses,volatility_1d,3,-0.07678904846418443,0.20762409690647785,-0.06678668190384093,0.27325860343675157,271,0.20762409690647785,False,,,
active_addresses,volatility_1d,7,-0.06294731734911739,0.30547717555485593,-0.05593233999168082,0.3626290791787018,267,0.30547717555485593,False,,,
active_addresses,volatility_1d,14,-0.10181456724686866,0.10140926087795332,-0.10948580748807206,0.078035434221587,260,0.10140926087795332,False,,,
active_addresses,volatility_7d,0,-0.10187618979462187,0.09237061004576978,-0.12618237948070452,0.036843683087045546,274,0.09237061004576978,False,,,
active_addresses,volatility_7d,1,-0.09525217252579728,0.1163744271585944,-0.13233303992162798,0.028808942646396513,273,0.1163744271585944,False,,,
active_addresses,volatility_7d,3,-0.023695531182322663,0.6977724858657884,-0.07097247927978756,0.2442526964437309,271,0.6977724858657884,False,,,
active_addresses,volatility_7d,7,-0.012293645021873667,0.8415236817546743,-0.08022702536835831,0.19125436174745242,267,0.8415236817546743,False,,,
active_addresses,volatility_7d,14,-0.07987671916136345,0.19920503478249918,-0.08689975087614762,0.16238077067427492,260,0.19920503478249918,False,,,
active_addresses,price_direction_1d,0,-0.04520306567220203,0.4561482961161352,0.026857162158103978,0.6580459723416926,274,0.4561482961161352,False,,,
active_addresses,price_direction_1d,1,-0.009670101532814772,0.8736319268521208,0.02178185142519163,0.7201289870308856,273,0.8736319268521208,False,,,
active_addresses,price_direction_1d,3,-0.045980071104402685,0.4509528089431968,-0.021477412763050912,0.7248614024514963,271,0.4509528089431968,False,,,
active_addresses,price_direction_1d,7,-0.002174674034659224,0.971786469424126,0.02851227269844872,0.6427890227804116,267,0.971786469424126,False,,,
active_addresses,price_direction_1d,14,-0.11556621601813113,0.06278520431223596,-0.10602431604792197,0.08797727362982442,260,0.06278520431223596,False,,,
active_addresses,price_direction_7d,0,-0.07692265629095478,0.20431376156366615,0.032250695383105134,0.5950434192602678,274,0.20431376156366615,False,,,
active_addresses,price_direction_7d,1,-0.06014075441780023,0.32216175344857473,0.012443956349968102,0.8378280775191538,273,0.32216175344857473,False,,,
active_addresses,price_direction_7d,3,-0.041327888207565604,0.49809661747300416,-0.10334213954168282,0.0895244680593969,271,0.49809661747300416,False,,,
active_addresses,price_direction_7d,7,0.01019337578448208,0.8683269582823655,-0.04302465975696,0.4838932486513129,267,0.8683269582823655,False,,,
active_addresses,price_direction_7d,14,-0.09267548770539735,0.13613060594267862,-0.16465839796687917,0.007804160475318347,260,0.13613060594267862,False,,,
active_addresses,price_range,0,-8.590677653450797e-05,0.9988705874069947,0.09988571071176851,0.09894851120640218,274,0.9988705874069947,False,,,
active_addresses,price_range,1,-0.022235807417489616,0.7145476828527212,-0.014684800683652504,0.8091424703224537,273,0.7145476828527212,False,,,
active_addresses,price_range,3,-0.03668379245654237,0.5476385480913937,-0.0306491758743796,0.6154319364583039,271,0.5476385480913937,False,,,
active_addresses,price_range,7,-0.014998803966245467,0.8072723860810034,-0.05525021495038929,0.3685209369082113,267,0.8072723860810034,False,,,
active_addresses,price_range,14,-0.024814859426608268,0.6904378313234869,-0.05559469269707287,0.3719595557899883,260,0.6904378313234869,False,,,
large_tx_count,price_static,0,,,,,274,,False,,,
large_tx_count,price_static,1,,,,,273,,False,,,
large_tx_count,price_static,3,,,,,271,,False,,,
large_tx_count,price_static,7,,,,,267,,False,,,
large_tx_count,price_static,14,,,,,260,,False,,,
large_tx_count,price_change_1d,0,,,,,274,,False,,,
large_tx_count,price_change_1d,1,,,,,273,,False,,,
large_tx_count,price_change_1d,3,,,,,271,,False,,,
large_tx_count,price_change_1d,7,,,,,267,,False,,,
large_tx_count,price_change_1d,14,,,,,260,,False,,,
large_tx_count,price_change_7d,0,,,,,274,,False,,,
large_tx_count,price_change_7d,1,,,,,273,,False,,,
large_tx_count,price_change_7d,3,,,,,271,,False,,,
large_tx_count,price_change_7d,7,,,,,267,,False,,,
