variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size
funding_delta,price_change_1d,0,0.00011595565738084859,0.9969870887866805,0.0012023734252553794,0.9687662604213265,1063
funding_delta,price_change_1d,1,-0.0022305261906651885,0.9421215330876771,-0.005647665397062819,0.8541446490140225,1062
funding_delta,price_change_1d,2,-0.010526207169434951,0.7319931428446871,0.008330636947453226,0.7863613186001246,1061
funding_delta,price_change_1d,3,-0.001997039910732353,0.9482199739790471,-0.01979804100557188,0.5196531908770035,1060
funding_delta,price_change_1d,7,-0.030096944279602213,0.32852067338546753,-0.060044215889859504,0.05109806313829269,1056
funding_delta,price_change_7d,0,-0.015135288435818892,0.6228958048076514,-0.005679926151436404,0.853594910365883,1058
funding_delta,price_change_7d,1,-0.025887505594939193,0.4004669217547564,-0.03541749408221817,0.24994802650668982,1057
funding_delta,price_change_7d,2,-0.004298194109482161,0.8890471578173561,-0.019995711754895094,0.516287290430967,1056
funding_delta,price_change_7d,3,0.002012496539387678,0.9479431053776466,-0.021008702454060533,0.4954634661508285,1055
funding_delta,price_change_7d,7,0.0271552307350499,0.37915000045329517,0.019997941922284344,0.5172377778528378,1051
funding_delta,volatility_change_1d,0,0.01262686756716301,0.6837741662040241,0.007433773203725073,0.810490787858963,1043
funding_delta,volatility_change_1d,1,0.004304024740213786,0.8895808204432921,0.005145620533223938,0.8681709036117153,1043
funding_delta,volatility_change_1d,2,-0.04061201118532683,0.19000863584279787,-0.01565815592964059,0.613479667473307,1043
funding_delta,volatility_change_1d,3,0.02287020212085047,0.4606264682306824,0.028349118998730945,0.3603831545071037,1043
funding_delta,volatility_change_1d,7,0.004622021079476221,0.8814807761447807,-0.03714405366610003,0.23069856326361868,1043
funding_delta,price_direction_1d,0,-0.005662408216766812,0.8536999692972939,0.002323737476696831,0.9396789720290055,1063
funding_delta,price_direction_1d,1,0.014788539313887968,0.6302373972923083,0.022038946851569513,0.47309397782439544,1062
funding_delta,price_direction_1d,2,-0.006338018485026482,0.8366292517406121,0.0029648058526628865,0.9231560504812266,1061
funding_delta,price_direction_1d,3,-0.023121699258090423,0.4520508691292386,-0.030426967223485313,0.32232537340451584,1060
funding_delta,price_direction_1d,7,-0.019912350236424566,0.5180381398080068,-0.05980393960900172,0.05203604592878789,1056
taker_ratio_delta,price_change_1d,0,0.02924211255904507,0.34085235725698737,0.0374642199676208,0.22228948293176948,1063
taker_ratio_delta,price_change_1d,1,-0.06922957238671087,0.024062659623910375,-0.0669648589897948,0.02909820854084132,1062
taker_ratio_delta,price_change_1d,2,0.03909306638536987,0.2032439560973093,0.04507344893989807,0.14232375898112687,1061
taker_ratio_delta,price_change_1d,3,0.051894773510749635,0.09127389570540112,0.05504624148543426,0.07322599155742375,1060
taker_ratio_delta,price_change_1d,7,0.02578931560433713,0.4024800181651615,0.012484342499094074,0.6853096181505013,1056
taker_ratio_delta,price_change_7d,0,-0.004196095860068409,0.8915641255512395,0.005304578212993125,0.8631711854226115,1058
taker_ratio_delta,price_change_7d,1,-0.006489032436065153,0.8331049811896113,-0.001532959835517454,0.9602977543384243,1057
taker_ratio_delta,price_change_7d,2,0.013212686694926984,0.6680165968843514,0.01619926164667384,0.5990099871721228,1056
taker_ratio_delta,price_change_7d,3,0.006060696672465194,0.8441214027138094,-0.00020353925506492573,0.9947313885987477,1055
taker_ratio_delta,price_change_7d,7,-0.0022490057501055355,0.9419460620168328,-0.009570285871400505,0.7566383475078656,1051
taker_ratio_delta,volatility_change_1d,0,-0.033529038962614055,0.2793222312438837,-0.037514515010038586,0.22607799285665486,1043
taker_ratio_delta,volatility_change_1d,1,0.009973818389612425,0.7476562571652136,0.014895213033928522,0.6308730928861097,1043
taker_ratio_delta,volatility_change_1d,2,-0.028159400860752873,0.3636078445331684,-0.04178428697771585,0.1775247398044957,1043
taker_ratio_delta,volatility_change_1d,3,-0.03055861710840591,0.32415619013002983,-0.06771767639440181,0.028752373548581605,1043
