date,upbit_price,upbit_open,upbit_high,upbit_low,binance_price,binance_open,binance_high,binance_low,bitget_price,bitget_open,bitget_high,bitget_low,krw_usd
2025-07-05,148197000.0,147798000.0,148400000.0,147655000.0,108198.12,107984.25,108420.56,107756.31,108898.89,108052.04,109100.0,107814.0,1361.15
2025-07-06,148500000.0,148197000.0,149100000.0,147411000.0,109203.84,108198.12,109700.0,107800.01,108312.29,108898.89,109693.16,107965.0,1362.6750000000002
2025-07-07,148100000.0,148500000.0,149100000.0,147196000.0,108262.94,109203.85,109700.0,107513.2,108271.88,108312.29,109203.12,107465.06,1364.2
2025-07-08,148302000.0,148100000.0,148890000.0,147100000.0,108922.98,108262.94,109216.56,107429.57,109061.69,108271.88,109733.48,108102.0,1366.6
2025-07-09,150701000.0,148302000.0,151479000.0,148000000.0,111233.99,108922.99,111999.79,108324.53,111398.52,109061.69,111975.0,109026.18,1368.0
2025-07-10,156519000.0,150750000.0,156960000.0,150200000.0,116010.0,111234.0,116868.0,110500.0,116876.47,111398.52,118823.53,111330.1,1373.8
2025-07-11,158187000.0,156517000.0,160744000.0,155000000.0,117527.66,116010.01,118869.98,115222.22,117105.02,116876.47,118182.5,116613.0,1373.0
2025-07-12,159681000.0,158187000.0,159952000.0,157200000.0,117420.0,117527.66,118200.0,116900.05,118667.0,117105.02,119345.24,117000.0,1373.85
2025-07-13,161740000.0,159683000.0,161754000.0,159450000.0,119086.64,117420.0,119488.0,117224.79,119871.97,118667.0,123214.52,118232.47,1374.275
2025-07-14,163923000.0,161740000.0,166800000.0,161357000.0,119841.18,119086.65,123218.0,118905.18,116391.01,119871.97,120526.35,115776.28,1374.7
2025-07-15,160811000.0,163923000.0,164010000.0,158658000.0,117758.09,119841.17,119940.83,115736.92,119104.48,116391.01,119786.67,116000.0,1378.5
2025-07-16,161250000.0,160811000.0,163210000.0,160175000.0,118630.43,117758.08,120063.84,117017.29,118859.46,119104.48,120071.42,117450.01,1382.7
2025-07-17,162232000.0,161246000.0,163955000.0,160002000.0,119177.56,118630.44,120998.71,117453.57,117872.69,118859.46,120933.22,117297.58,1387.1
2025-07-18,161100000.0,162232000.0,164446000.0,159301000.0,117924.84,119177.56,120820.71,116812.76,118059.0,117872.69,118481.5,116833.0,1390.8
2025-07-19,161428000.0,161098000.0,162470000.0,160788000.0,117840.0,117924.84,118499.9,117277.34,118683.01,118059.0,118802.92,117289.0,1391.35
2025-07-20,160072000.0,161428000.0,162000000.0,159726000.0,117265.12,117840.01,118856.8,116467.02,118328.36,118683.01,119663.9,116478.79,1391.625
2025-07-21,160096000.0,160072000.0,162300000.0,159350000.0,117380.36,117265.11,119676.73,116515.0,118918.27,118328.36,119584.58,116130.0,1391.9
2025-07-22,162321000.0,160094000.0,162990000.0,158750000.0,119954.42,117380.36,120247.8,116128.0,118568.19,118918.27,120224.83,117299.02,1391.1
2025-07-23,161990000.0,162321000.0,162848000.0,159192000.0,118755.99,119954.43,120090.0,117301.0,119080.25,118568.19,119465.51,117110.0,1386.3
2025-07-24,160928000.0,162000000.0,162888000.0,159000000.0,118340.99,118756.0,119450.0,117103.1,115707.12,119080.25,119399.99,114727.69,1379.1
2025-07-25,160217000.0,160938000.0,161239000.0,157746000.0,117614.31,118340.98,118451.57,114723.16,118103.78,115707.12,118199.95,115436.0,1368.7
2025-07-26,160900000.0,160225000.0,161220000.0,159600000.0,117919.99,117614.31,118297.35,117138.38,118594.23,118103.78,118596.05,117819.0,1372.35
2025-07-27,162717000.0,160900000.0,162800000.0,160858000.0,119415.55,117919.99,119766.65,117825.5,118174.74,118594.23,119794.92,117906.0,1374.175
2025-07-28,162483000.0,162548000.0,162985000.0,161391000.0,118062.32,119415.56,119800.0,117427.5,117395.0,118174.74,119280.0,117279.63,1376.0
2025-07-29,163158000.0,162483000.0,163800000.0,162034000.0,117950.76,118062.32,119273.36,116950.75,117997.29,117395.0,118782.52,117000.0,1379.6
2025-07-30,163118000.0,163248000.0,163708000.0,161800000.0,117840.3,117950.75,118792.0,115796.23,118306.62,117997.29,118911.19,115794.25,1391.4
2025-07-31,161398000.0,163118000.0,164300000.0,161138000.0,115764.08,117840.29,118922.45,115500.0,115371.14,118306.62,118884.33,113968.6,1382.9
2025-08-01,158102000.0,161400000.0,161770000.0,158100000.0,113297.93,115764.07,116052.0,112722.58,112860.58,115371.14,115710.0,112751.35,1390.4
2025-08-02,157376000.0,158101000.0,159362000.0,157115000.0,112546.35,113297.92,114063.49,112003.0,113961.84,112860.58,114260.0,111914.0,1394.85
2025-08-03,160227000.0,157376000.0,160324000.0,156715000.0,114208.8,112546.35,114799.97,111920.0,114824.0,113961.84,115476.06,113778.98,1397.0749999999998
2025-08-04,160332000.0,160208000.0,161400000.0,159500000.0,115055.03,114208.81,115720.0,114107.6,112948.79,114824.0,115729.51,112666.0,1399.3
2025-08-05,159999000.0,160333000.0,160571000.0,158206000.0,114129.75,115055.03,115127.81,112650.0,115411.25,112948.79,115526.77,112837.0,1384.9
2025-08-06,160000000.0,159999000.0,160955000.0,158605000.0,114992.27,114129.75,115716.0,113355.13,116695.0,115411.25,116815.94,114283.0,1386.7
2025-08-07,161853000.0,160000000.0,162000000.0,159524000.0,117472.01,114992.27,117621.0,114259.0,116218.2,116695.0,117655.18,115631.62,1389.5
2025-08-08,160099000.0,161853000.0,161994000.0,160008000.0,116674.74,117472.02,117630.0,115878.71,116903.72,116218.2,117944.44,116009.1,1384.2
2025-08-09,160180000.0,160099000.0,161547000.0,160007000.0,116462.25,116674.74,117944.05,116299.13,118810.29,116903.72,119109.51,116415.73,1385.1
2025-08-10,163859000.0,160180000.0,163877000.0,160132000.0,119294.01,116462.25,119311.11,116460.63,120309.6,118810.29,122323.42,118088.84,1385.55
2025-08-11,164210000.0,163860000.0,167000000.0,163350000.0,118686.0,119294.27,122335.16,118050.11,119928.36,120309.6,120807.4,118080.56,1386.0
2025-08-12,164298000.0,164210000.0,164990000.0,163000000.0,120134.08,118686.0,120324.43,118207.47,120934.22,119928.36,122214.9,118934.6,1388.3
2025-08-13,168051000.0,164298000.0,168262000.0,163353000.0,123306.43,120134.09,123667.79,118920.92,118312.7,120934.22,124496.45,117717.86,1390.2
2025-08-14,164723000.0,168051000.0,169900000.0,162550000.0,118295.09,123306.44,124474.0,117180.0,117315.0,118312.7,119230.77,116860.0,1383.8
2025-08-15,164122000.0,164723000.0,165885000.0,163010000.0,117342.05,118295.09,119216.82,116803.99,117681.5,117315.0,117921.12,116831.64,1383.0
2025-08-16,163058000.0,164122000.0,164374000.0,162685000.0,117380.66,117342.04,117898.99,117143.98,118264.37,117681.5,118588.92,117200.0,1382.6
2025-08-17,163111000.0,163058000.0,164194000.0,163035000.0,117405.01,117380.66,118575.0,117172.21,116162.01,118264.37,118336.8,114664.2,1382.4
2025-08-18,161513000.0,163110000.0,163456000.0,160000000.0,116227.05,117405.01,117543.75,114640.14,113817.99,116162.01,116998.22,113587.41,1382.2
2025-08-19,157172000.0,161513000.0,162388000.0,157044000.0,112872.94,116227.05,116725.69,112732.58,113364.95,113817.99,114323.31,112367.79,1385.3
2025-08-20,159149000.0,157180000.0,159565000.0,157100000.0,114271.24,112872.95,114615.38,112380.0,112813.15,113364.95,114824.44,112624.01,1389.4
2025-08-21,157737000.0,159237000.0,159900000.0,157280000.0,112500.0,114271.23,114821.76,112015.67,116376.99,112813.15,117310.34,111690.22,1397.5
2025-08-22,161176000.0,157737000.0,162688000.0,156647000.0,116935.99,112500.0,117429.05,111684.79,114835.79,116376.99,117450.8,114567.03,1398.1
2025-08-23,159705000.0,161176000.0,161505000.0,159000000.0,115438.05,116936.0,117030.0,114560.0,114430.01,114835.79,115682.13,114363.98,1396.85
2025-08-24,157603000.0,159705000.0,160272000.0,155870000.0,113493.59,115438.06,115666.68,110680.0,112197.86,114430.01,114943.78,110595.13,1396.225
