symbol,date,open,high,low,close,volume,quote_volume,atr,rsi,upper_shadow,lower_shadow,upper_shadow_ratio,lower_shadow_ratio,weekly_range,weekly_range_pct,body_size,body_size_pct,volatility_ratio
ETHUSDT,2023-12-03,2062.34,2217.27,1985.78,2192.95,2059877.6581,4280113118.443677,163.2542857142857,73.90025392510998,,,,,231.49,11.657384000241718,,,0.07444505607254415
BTCUSDT,2023-12-03,37447.42,40250.0,36707.0,39972.26,222103.26117,8487028647.022033,2553.7349999999997,91.71347613453942,,,,,3543.0,9.652109951780314,,,0.06388768110684759
ETHUSDT,2023-12-10,2192.96,2403.0,2188.33,2352.39,2855044.4905,6538123587.749961,168.33714285714288,78.5389400903305,,,,,214.67000000000007,9.80976360969324,,,0.07156004865568333
BTCUSDT,2023-12-10,39972.26,44700.0,39972.26,43789.51,332080.41362,14282421615.678154,2690.7807142857137,93.86021484201926,,,,,4727.739999999998,11.827552407594661,,,0.061448066312815866
ETHUSDT,2023-12-17,2352.39,2355.0,2144.32,2196.52,2589192.8571,5785372356.552676,178.38571428571427,70.7884609861865,,,,,210.67999999999984,9.82502611550514,,,0.08121287959395511
BTCUSDT,2023-12-17,43789.5,43804.5,40222.0,41374.65,292562.41578,12297278343.994047,2870.0314285714276,84.36838709506122,,,,,3582.5,8.906817164735717,,,0.06936690530485279
BTCUSDT,2023-12-24,41374.64,44398.26,40542.93,42991.5,245481.20612,10566656295.247065,3003.4835714285705,84.98687353929078,,,,,3855.3300000000017,9.509253524597264,,,0.06986226513214404
ETHUSDT,2023-12-24,2196.53,2343.15,2116.6,2264.05,2772501.3746,6219132304.564507,185.77714285714288,72.04238272258145,,,,,226.55000000000018,10.703486723991317,,,0.08205522972422997
ETHUSDT,2023-12-31,2264.04,2445.8,2178.45,2281.87,2701603.8776,6247569644.382104,197.60714285714286,74.49279007377599,,,,,267.35000000000036,12.272487318965338,,,0.0865987733118639
BTCUSDT,2023-12-31,42991.5,43802.32,41300.0,42283.58,228462.70228,9750360049.0337,3084.971428571429,83.46578956155876,,,,,2502.3199999999997,6.058886198547215,,,0.07295908786747549
BTCUSDT,2024-01-07,42283.58,45879.63,40750.0,43929.02,310487.48622,13613329331.073414,3303.1557142857137,83.39735569820004,,,,,5129.629999999997,12.588049079754596,,,0.07519302079321856
ETHUSDT,2024-01-07,2281.87,2431.3,2100.0,2221.42,2729092.4564,6206804228.446822,207.84357142857147,68.21241026943449,,,,,331.3000000000002,15.776190476190486,,,0.09356338352430943
BTCUSDT,2024-01-14,43929.01,48969.48,41500.0,41732.35,470798.80434,21356230439.61789,3735.297142857143,76.58833718244804,,,,,7469.480000000003,17.998746987951815,,,0.08950603411639037
ETHUSDT,2024-01-14,2221.42,2717.32,2166.38,2472.87,4583690.2125,11389137889.471537,237.3914285714286,78.20350113817209,,,,,550.94,25.431364765184316,,,0.0959983454736515
BTCUSDT,2024-01-21,41732.35,43578.01,40280.0,41580.33,238486.27274,10056011079.074232,3867.3499999999995,78.43255895356245,,,,,3298.010000000002,8.187711022840125,,,0.09300912234222286
ETHUSDT,2024-01-21,2472.87,2614.43,2415.2,2457.05,2198099.091,5517715050.678249,243.4078571428572,81.44379641673312,,,,,199.23000000000002,8.249006293474661,,,0.09906508094782654
ETHUSDT,2024-01-28,2457.06,2466.1,2168.07,2256.9,2634723.4541,5975838454.033676,255.68214285714288,69.45938853168877,,,,,298.02999999999975,13.746327378728534,,,0.11328908806643753
BTCUSDT,2024-01-28,41580.32,42842.68,38555.0,42031.06,274603.16207,11116307617.734632,3940.2321428571427,76.19189140501464,,,,,4287.68,11.12094410582285,,,0.09374572382559809
ETHUSDT,2024-02-04,2256.9,2391.98,2233.8,2289.79,1929216.6968,4446731028.459142,252.09,67.34822712446955,,,,,158.17999999999984,7.081206911988532,,,0.11009306530293171
BTCUSDT,2024-02-04,42031.05,43882.36,41804.88,42582.88,203036.61925,8713194728.762842,3703.1664285714287,71.2026833783072,,,,,2077.480000000003,4.969467679371411,,,0.08696373821055384
BTCUSDT,2024-02-11,42582.88,48592.66,42258.1,48299.99,262240.48357,11935033613.560339,4015.635714285715,77.41959180472989,,,,,6334.560000000005,14.990167565508164,,,0.08313947299545435
ETHUSDT,2024-02-11,2289.79,2539.63,2269.11,2507.21,2183844.0391,5290160181.094481,261.73,69.89977368250891,,,,,270.52,11.921854824138096,,,0.10439093653902147
BTCUSDT,2024-02-18,48300.0,52816.62,47710.01,52137.67,310862.3017,15789798425.184841,4134.023571428573,78.96921489763413,,,,,5106.610000000001,10.70343519106368,,,0.07929053161425459
