symbol,date,close,volume,quote_volume,open,high,low
BTCUSDT,2025-05-18,106454.26,21599.98726,2262214972.0749383,103126.65,106660.0,103105.09
BTCUSDT,2025-05-19,105573.74,30260.03524,3150324504.5954514,106454.27,107108.62,102000.0
ETHUSDT,2025-05-19,2528.14,861747.523,2109843607.573324,2497.78,2547.36,2348.38
BTCUSDT,2025-05-20,106849.99,23705.48275,2509102444.669598,105573.73,107320.0,104184.72
ETHUSDT,2025-05-20,2524.19,676989.1747,1703522806.130449,2528.14,2588.63,2442.4
BTCUSDT,2025-05-21,109643.99,45531.040345,4914709514.320026,106850.0,110797.38,106100.01
ETHUSDT,2025-05-21,2550.99,1095890.2902,2780015740.832861,2524.19,2615.95,2452.2
ETHUSDT,2025-05-22,2664.82,852555.6669,2246807632.745271,2551.0,2692.99,2544.83
BTCUSDT,2025-05-22,111696.21,31630.77313,3509432834.573417,109643.99,111980.0,109177.37
BTCUSDT,2025-05-23,107318.3,31737.72309,3469704446.3904047,111696.22,111800.0,106800.0
ETHUSDT,2025-05-23,2526.5,971442.4532,2537338702.615742,2664.83,2734.23,2498.3
BTCUSDT,2025-05-24,107761.91,16782.53129,1819958819.7748587,107318.3,109506.03,106875.41
ETHUSDT,2025-05-24,2530.4,257544.2344,656038924.220513,2526.49,2575.85,2515.08
ETHUSDT,2025-05-25,2551.22,359890.0299,901956598.724874,2530.41,2554.26,2463.0
BTCUSDT,2025-05-25,109004.19,17710.04695,1904366455.425858,107761.9,109299.99,106600.64
ETHUSDT,2025-05-26,2563.7,362971.1182,929347758.924527,2551.22,2599.0,2525.86
BTCUSDT,2025-05-26,109434.79,14649.11593,1605578282.107903,109004.2,110422.22,108670.58
BTCUSDT,2025-05-27,108938.17,21276.65635,2327603851.119265,109434.78,110718.0,107516.57
ETHUSDT,2025-05-27,2660.81,798430.8862,2101748442.524873,2563.7,2712.36,2509.46
ETHUSDT,2025-05-28,2681.6,560095.6833,1480645502.351484,2660.81,2689.14,2608.5
BTCUSDT,2025-05-28,107781.78,15633.78829,1689136748.5130312,108938.17,109284.7,106769.43
BTCUSDT,2025-05-29,105589.75,19834.70116,2128639017.5081618,107781.78,108891.91,105322.86
ETHUSDT,2025-05-29,2631.39,811567.2545,2189640513.339573,2681.61,2788.0,2619.05
ETHUSDT,2025-05-30,2531.34,763045.2564,1976177953.879442,2631.39,2649.23,2507.35
BTCUSDT,2025-05-30,103985.48,23706.49799,2493078549.591861,105589.75,106313.12,103621.0
BTCUSDT,2025-05-31,104591.88,11289.35922,1174000801.5070379,103985.47,104900.0,103068.55
ETHUSDT,2025-05-31,2528.06,394537.2521,994330383.170508,2531.35,2550.34,2475.33
ETHUSDT,2025-06-01,2539.21,332021.7088,834842712.277541,2528.06,2547.79,2468.56
BTCUSDT,2025-06-01,105642.93,9709.70006,1016188486.9505996,104591.88,105866.91,103752.49
ETHUSDT,2025-06-02,2607.41,468889.9737,1184963591.471666,2539.2,2615.0,2475.0
BTCUSDT,2025-06-02,105857.99,13453.98813,1409004206.9863732,105642.93,105935.63,103659.88
BTCUSDT,2025-06-03,105376.89,13259.52634,1402493746.5993218,105858.0,106794.67,104872.5
ETHUSDT,2025-06-03,2593.36,454383.0439,1188862077.100825,2607.42,2655.38,2575.0
BTCUSDT,2025-06-04,104696.86,14034.89482,1476928482.3688781,105376.9,106000.0,104179.0
ETHUSDT,2025-06-04,2607.68,502494.8214,1321537606.684948,2593.35,2679.88,2583.5
BTCUSDT,2025-06-05,101508.68,22321.50154,2301567892.5305448,104696.86,105909.71,100372.26
ETHUSDT,2025-06-05,2414.01,808938.0344,2047572739.901186,2607.68,2640.86,2391.66
BTCUSDT,2025-06-06,104288.44,15839.07385,1642382404.9355752,101508.69,105333.0,101095.8
ETHUSDT,2025-06-06,2476.1,578843.4974,1428256037.775954,2414.02,2531.36,2381.49
BTCUSDT,2025-06-07,105552.15,8344.93206,877915380.9548231,104288.43,105900.0,103871.09
ETHUSDT,2025-06-07,2524.63,264787.6743,662320802.305284,2476.1,2544.36,2457.0
ETHUSDT,2025-06-08,2509.83,266474.7139,670516749.059655,2524.64,2548.63,2490.58
BTCUSDT,2025-06-08,105734.0,8048.06305,850887129.4282976,105552.15,106488.14,104964.14
ETHUSDT,2025-06-09,2680.13,568726.3025,1458505754.33474,2509.84,2693.99,2477.73
BTCUSDT,2025-06-09,110263.02,19975.37451,2154922022.221173,105734.01,110530.17,105318.37
BTCUSDT,2025-06-10,110274.39,17071.82839,1867620550.192173,110263.02,110400.0,108331.03
ETHUSDT,2025-06-10,2816.4,1138405.4775,3115655145.472068,2680.13,2827.0,2655.61
BTCUSDT,2025-06-11,108645.12,13115.91638,1434884639.7506304,110274.39,110392.01,108064.0
