symbol,date,open,high,low,close,volume,quote_volume
BTCUSDT,2022-09-17,19807.09,20186.41,19745.41,20112.0,7160.104206,142953582.54507408
BTCUSDT,2022-09-18,20112.0,20117.19,19335.26,19416.95,10339.976038,204291709.23722842
ETHUSDT,2022-09-18,1468.92,1469.76,1323.78,1334.63,324582.12898,456454615.8225702
ETHUSDT,2022-09-19,1334.63,1392.79,1279.98,1376.06,393496.81842,521971933.9210681
BTCUSDT,2022-09-19,19416.95,19685.0,18252.0,19535.58,19308.471492,365941068.85366774
ETHUSDT,2022-09-20,1376.06,1385.41,1311.96,1322.8,302716.42737,409178991.2605266
BTCUSDT,2022-09-20,19535.58,19634.8,18725.0,18875.72,14739.245334,282452091.07582444
ETHUSDT,2022-09-21,1322.8,1409.0,1218.75,1245.8,512883.74799,681746399.5229884
BTCUSDT,2022-09-21,18875.72,19973.62,18137.44,18459.81,25010.862661,477000932.7535474
ETHUSDT,2022-09-22,1245.8,1349.63,1237.06,1326.57,567861.68319,730579599.4253432
BTCUSDT,2022-09-22,18459.81,19528.59,18359.11,19397.79,31107.745864,591830076.4550322
ETHUSDT,2022-09-23,1326.57,1359.65,1261.7,1327.38,462941.79658,608021054.7584445
BTCUSDT,2022-09-23,19397.79,19500.0,18533.32,19287.95,25769.583002,489208842.0167052
ETHUSDT,2022-09-24,1327.38,1349.44,1306.31,1316.97,170051.94504,225804145.4424115
BTCUSDT,2022-09-24,19287.95,19312.49,18806.0,18918.62,12318.194941,234620445.23901486
BTCUSDT,2022-09-25,18918.62,19185.45,18631.69,18806.85,10335.961544,195839937.61557317
ETHUSDT,2022-09-25,1316.97,1337.58,1269.0,1294.61,193843.76288,253845402.4670583
ETHUSDT,2022-09-26,1294.61,1340.39,1278.17,1336.39,316381.54944,415461695.6288596
BTCUSDT,2022-09-26,18806.85,19317.06,18681.23,19225.7,21738.984522,413809955.1902237
ETHUSDT,2022-09-27,1336.39,1400.21,1303.53,1327.9,338194.64605,459643295.9600099
BTCUSDT,2022-09-27,19225.7,20383.48,18812.6,19076.02,38366.885709,753270975.1071018
ETHUSDT,2022-09-28,1327.9,1355.64,1252.29,1337.05,393517.39316,514304549.2605788
BTCUSDT,2022-09-28,19076.02,19776.68,18468.11,19413.5,33819.821532,646980169.6562564
ETHUSDT,2022-09-29,1337.05,1352.24,1288.27,1335.78,275204.95566,365484204.3704268
BTCUSDT,2022-09-29,19413.5,19643.92,18842.36,19591.57,18815.481989,363913885.79092854
ETHUSDT,2022-09-30,1335.78,1373.47,1313.84,1329.03,235195.05635,314661648.0490525
BTCUSDT,2022-09-30,19591.57,20181.4,19154.67,19421.9,15431.264253,302079173.22650695
BTCUSDT,2022-10-01,19421.9,19483.3,19161.74,19311.15,6395.494739,123505259.35530128
ETHUSDT,2022-10-01,1329.03,1333.94,1302.3,1311.84,94775.08167,125184014.9169076
BTCUSDT,2022-10-02,19311.15,19395.76,18921.46,19058.81,8467.058583,162532703.92951623
ETHUSDT,2022-10-02,1311.84,1318.21,1268.52,1276.86,133923.3291,173827180.0950434
BTCUSDT,2022-10-03,19058.81,19714.24,18962.08,19628.05,13583.105197,262804710.57685956
ETHUSDT,2022-10-03,1276.86,1330.02,1262.56,1322.96,197376.21187,257361987.5483332
ETHUSDT,2022-10-04,1322.96,1369.77,1318.61,1361.26,142904.18062,192294801.8876996
BTCUSDT,2022-10-04,19628.05,20460.0,19493.08,20337.71,15544.788295,310824082.45915556
ETHUSDT,2022-10-05,1361.26,1364.7,1316.1,1352.45,146447.26953,196870397.4422078
BTCUSDT,2022-10-05,20337.71,20361.59,19736.83,20161.1,15353.507211,308623545.8880037
BTCUSDT,2022-10-06,20161.1,20455.04,19852.61,19961.77,25944.180175,521977825.1087405
ETHUSDT,2022-10-06,1352.45,1384.0,1345.26,1351.92,300150.15653,409479182.7012258
BTCUSDT,2022-10-07,19961.77,20065.44,19321.58,19527.0,25607.60881,505251857.5594559
ETHUSDT,2022-10-07,1351.92,1361.76,1317.44,1331.22,309842.44966,415158162.7379529
ETHUSDT,2022-10-08,1331.22,1337.91,1303.35,1315.53,147838.91864,196085956.0936064
BTCUSDT,2022-10-08,19527.0,19626.0,19241.0,19414.41,7997.482918,155731501.19114313
ETHUSDT,2022-10-09,1315.53,1328.97,1307.13,1323.29,93568.70655,123400320.4432597
BTCUSDT,2022-10-09,19414.41,19555.2,19317.13,19438.5,5824.71266,113266816.29124513
ETHUSDT,2022-10-10,1323.29,1338.35,1287.0,1290.1,152303.51416,199862204.4453438
BTCUSDT,2022-10-10,19438.5,19526.01,19022.0,19130.45,11979.126899,231063437.06254107
ETHUSDT,2022-10-11,1290.1,1298.11,1266.64,1279.93,159109.39367,204064481.3779458
BTCUSDT,2022-10-11,19130.45,19267.33,18857.12,19058.0,10645.539935,202981138.2906338
BTCUSDT,2022-10-12,19058.0,19240.0,18960.68,19154.93,9170.645859,175219244.87109146
ETHUSDT,2022-10-12,1279.93,1306.81,1275.24,1294.42,148551.93265,192341370.7131625
BTCUSDT,2022-10-13,19154.93,19507.0,18160.47,19374.98,26318.981601,496542592.90255296
ETHUSDT,2022-10-13,1294.42,1301.19,1190.0,1286.95,231899.12603,291398574.3860683
ETHUSDT,2022-10-14,1286.95,1343.4,1283.09,1296.18,210475.5042,277444912.4890513
BTCUSDT,2022-10-14,19374.98,19950.57,19074.3,19175.68,19061.936727,372933494.8446575
ETHUSDT,2022-10-15,1296.18,1301.62,1263.59,1275.07,78630.92763,101032733.0592998
BTCUSDT,2022-10-15,19175.68,19226.0,18980.0,19071.34,4578.572454,87574977.04300044
BTCUSDT,2022-10-16,19071.34,19424.73,19066.01,19264.83,5464.351201,104913735.12666956
ETHUSDT,2022-10-16,1275.07,1315.45,1274.49,1305.94,90533.13628,117160030.1375755
