date,capital
2024-06-04,105891041.61424409
2024-06-05,105891041.61424409
2024-06-06,105891041.61424409
2024-06-07,105891041.61424409
2024-06-08,105891041.61424409
2024-06-09,105891041.61424409
2024-06-10,105891041.61424409
2024-06-11,105891041.61424409
2024-06-12,104878995.88187706
2024-06-13,104878995.88187706
2024-06-14,104878995.88187706
2024-06-15,104878995.88187706
2024-06-16,104878995.88187706
2024-06-17,105573353.40901971
2024-06-18,105573353.40901971
2024-06-19,105573353.40901971
2024-06-20,105573353.40901971
2024-06-21,105573353.40901971
2024-06-22,105573353.40901971
2024-06-23,105573353.40901971
2024-06-24,105573353.40901971
2024-06-25,105573353.40901971
2024-06-26,105573353.40901971
2024-06-27,105573353.40901971
2024-06-28,105573353.40901971
2024-06-29,105573353.40901971
2024-06-30,105573353.40901971
2024-07-01,105573353.40901971
2024-07-02,105573353.40901971
2024-07-03,105573353.40901971
2024-07-04,105573353.40901971
2024-07-05,105573353.40901971
2024-07-06,105573353.40901971
2024-07-07,105573353.40901971
2024-07-08,105573353.40901971
2024-07-09,105573353.40901971
2024-07-10,105573353.40901971
2024-07-11,105573353.40901971
2024-07-12,105573353.40901971
2024-07-13,105573353.40901971
2024-07-14,105573353.40901971
2024-07-15,103579241.1618808
2024-07-16,103579241.1618808
2024-07-17,103579241.1618808
2024-07-18,103579241.1618808
2024-07-19,103579241.1618808
2024-07-20,103579241.1618808
2024-07-21,103579241.1618808
2024-07-22,103579241.1618808
2024-07-23,103579241.1618808
2024-07-24,103579241.1618808
2024-07-25,103579241.1618808
2024-07-26,103579241.1618808
2024-07-27,103579241.1618808
2024-07-28,103579241.1618808
2024-07-29,103579241.1618808
2024-07-30,103579241.1618808
2024-07-31,103579241.1618808
2024-08-01,103579241.1618808
2024-08-02,103579241.1618808
2024-08-03,103579241.1618808
2024-08-04,103579241.1618808
2024-08-05,103579241.1618808
2024-08-06,103579241.1618808
2024-08-07,103579241.1618808
2024-08-08,103579241.1618808
2024-08-09,105406399.40545127
2024-08-10,105406399.40545127
2024-08-11,105406399.40545127
2024-08-12,105406399.40545127
2024-08-13,105406399.40545127
2024-08-14,105406399.40545127
2024-08-15,105406399.40545127
2024-08-16,105406399.40545127
2024-08-17,105406399.40545127
2024-08-18,105406399.40545127
2024-08-19,105406399.40545127
2024-08-20,105406399.40545127
2024-08-21,105406399.40545127
2024-08-22,105406399.40545127
2024-08-23,105406399.40545127
2024-08-24,105406399.40545127
2024-08-25,105406399.40545127
2024-08-26,105406399.40545127
2024-08-27,105406399.40545127
2024-08-28,105406399.40545127
2024-08-29,105406399.40545127
2024-08-30,105406399.40545127
2024-08-31,105406399.40545127
2024-09-01,105406399.40545127
2024-09-02,105406399.40545127
2024-09-03,105406399.40545127
2024-09-04,105406399.40545127
2024-09-05,105406399.40545127
2024-09-06,105406399.40545127
2024-09-07,105406399.40545127
2024-09-08,105406399.40545127
2024-09-09,105406399.40545127
2024-09-10,105406399.40545127
2024-09-11,105406399.40545127
2024-09-12,105406399.40545127
2024-09-13,105406399.40545127
2024-09-14,105406399.40545127
2024-09-15,105406399.40545127
2024-09-16,105406399.40545127
2024-09-17,103123784.43240486
2024-09-18,103123784.43240486
2024-09-19,103123784.43240486
2024-09-20,103123784.43240486
2024-09-21,103123784.43240486
2024-09-22,103123784.43240486
2024-09-23,103123784.43240486
2024-09-24,103123784.43240486
2024-09-25,103123784.43240486
2024-09-26,103123784.43240486
2024-09-27,103123784.43240486
2024-09-28,103123784.43240486
2024-09-29,103123784.43240486
2024-09-30,102150156.96187985
2024-10-01,102150156.96187985
2024-10-02,102150156.96187985
2024-10-03,102150156.96187985
2024-10-04,102150156.96187985
2024-10-05,102150156.96187985
2024-10-06,102150156.96187985
2024-10-07,102994708.59938091
2024-10-08,102994708.59938091
2024-10-09,102994708.59938091
2024-10-10,102994708.59938091
2024-10-11,102994708.59938091
2024-10-12,102994708.59938091
2024-10-13,102994708.59938091
2024-10-14,100628877.58443274
2024-10-15,100628877.58443274
2024-10-16,100628877.58443274
2024-10-17,100628877.58443274
2024-10-18,100628877.58443274
2024-10-19,100628877.58443274
2024-10-20,100628877.58443274
2024-10-21,100628877.58443274
2024-10-22,100628877.58443274
2024-10-23,100628877.58443274
2024-10-24,100628877.58443274
2024-10-25,100628877.58443274
2024-10-26,100628877.58443274
2024-10-27,100628877.58443274
2024-10-28,100628877.58443274
2024-10-29,100628877.58443274
2024-10-30,100628877.58443274
2024-10-31,100628877.58443274
2024-11-01,100628877.58443274
2024-11-02,100628877.58443274
2024-11-03,100628877.58443274
2024-11-04,100628877.58443274
2024-11-05,100628877.58443274
2024-11-06,97155523.39074464
2024-11-07,97155523.39074464
2024-11-08,97155523.39074464
2024-11-09,97155523.39074464
2024-11-10,97155523.39074464
2024-11-11,97155523.39074464
2024-11-12,97155523.39074464
2024-11-13,97155523.39074464
2024-11-14,95919935.73425081
2024-11-15,95919935.73425081
2024-11-16,95919935.73425081
2024-11-17,95919935.73425081
2024-11-18,95919935.73425081
2024-11-19,95919935.73425081
2024-11-20,95919935.73425081
2024-11-21,95919935.73425081
2024-11-22,95919935.73425081
2024-11-23,95919935.73425081
2024-11-24,95919935.73425081
2024-11-25,95919935.73425081
2024-11-26,95919935.73425081
2024-11-27,95919935.73425081
2024-11-28,95919935.73425081
2024-11-29,95919935.73425081
2024-11-30,95919935.73425081
2024-12-01,95919935.73425081
2024-12-02,95919935.73425081
2024-12-03,95919935.73425081
2024-12-04,95919935.73425081
2024-12-05,95919935.73425081
2024-12-06,95919935.73425081
2024-12-07,95919935.73425081
2024-12-08,95919935.73425081
2024-12-09,95919935.73425081
2024-12-10,95919935.73425081
2024-12-11,95919935.73425081
2024-12-12,95919935.73425081
2024-12-13,95919935.73425081
2024-12-14,95919935.73425081
2024-12-15,95919935.73425081
2024-12-16,95919935.73425081
2024-12-17,95919935.73425081
2024-12-18,95919935.73425081
2024-12-19,95919935.73425081
2024-12-20,95919935.73425081
2024-12-21,95919935.73425081
2024-12-22,95919935.73425081
2024-12-23,97253724.8545939
2024-12-24,97253724.8545939
2024-12-25,97253724.8545939
2024-12-26,97253724.8545939
2024-12-27,97253724.8545939
2024-12-28,97253724.8545939
2024-12-29,97253724.8545939
2024-12-30,97253724.8545939
2024-12-31,97253724.8545939
2025-01-01,97253724.8545939
2025-01-02,97253724.8545939
2025-01-03,97253724.8545939
2025-01-04,97253724.8545939
2025-01-05,97253724.8545939
2025-01-06,97253724.8545939
2025-01-07,97253724.8545939
2025-01-08,98680400.40856266
2025-01-09,98680400.40856266
2025-01-10,98680400.40856266
2025-01-11,98680400.40856266
2025-01-12,98680400.40856266
2025-01-13,98680400.40856266
2025-01-14,98680400.40856266
2025-01-15,98680400.40856266
2025-01-16,98680400.40856266
2025-01-17,98680400.40856266
2025-01-18,95732112.98910393
2025-01-19,95732112.98910393
2025-01-20,95732112.98910393
2025-01-21,95732112.98910393
2025-01-22,95732112.98910393
2025-01-23,95732112.98910393
2025-01-24,95732112.98910393
2025-01-25,95732112.98910393
2025-01-26,95732112.98910393
2025-01-27,95732112.98910393
2025-01-28,95732112.98910393
2025-01-29,95732112.98910393
2025-01-30,95732112.98910393
2025-01-31,95732112.98910393
2025-02-01,95732112.98910393
2025-02-02,95732112.98910393
2025-02-03,95732112.98910393
2025-02-04,95732112.98910393
2025-02-05,95732112.98910393
2025-02-06,95732112.98910393
2025-02-07,95732112.98910393
2025-02-08,95732112.98910393
2025-02-09,95652045.67645214
2025-02-10,95652045.67645214
2025-02-11,95652045.67645214
2025-02-12,95652045.67645214
2025-02-13,95652045.67645214
2025-02-14,95652045.67645214
2025-02-15,95652045.67645214
2025-02-16,95652045.67645214
2025-02-17,95652045.67645214
2025-02-18,95652045.67645214
2025-02-19,95652045.67645214
2025-02-20,95652045.67645214
2025-02-21,95652045.67645214
2025-02-22,95652045.67645214
2025-02-23,95652045.67645214
2025-02-24,95652045.67645214
2025-02-25,95652045.67645214
2025-02-26,95652045.67645214
2025-02-27,97326508.37283361
2025-02-28,97326508.37283361
2025-03-01,97326508.37283361
2025-03-02,97326508.37283361
2025-03-03,97326508.37283361
2025-03-04,97326508.37283361
2025-03-05,99540910.54340944
2025-03-06,99540910.54340944
2025-03-07,99540910.54340944
2025-03-08,99540910.54340944
2025-03-09,99540910.54340944
2025-03-10,99540910.54340944
2025-03-11,96968386.76998426
2025-03-12,96968386.76998426
2025-03-13,96968386.76998426
2025-03-14,96968386.76998426
2025-03-15,94505081.14872785
2025-03-16,94505081.14872785
2025-03-17,94505081.14872785
2025-03-18,94505081.14872785
2025-03-19,94505081.14872785
2025-03-20,94505081.14872785
2025-03-21,94505081.14872785
