date,symbol,avg_funding_rate,sum_open_interest,long_short_ratio,volatility_24h,target_volatility_24h
2022-03-02,BTCUSDT,0.0001,73699.696,,0.0,
2022-03-02,ETHUSDT,0.0001,510273.281,,0.0,
2022-03-03,BTCUSDT,0.0001,75507.831,,0.0,
2022-03-03,ETHUSDT,0.0001,526448.817,,0.0,
2022-03-04,BTCUSDT,0.0001,75974.537,,0.0,
2022-03-04,ETHUSDT,0.0001,509878.424,,0.0,
2022-03-05,ETHUSDT,3.2586666666666664e-05,504853.814,,0.0,
2022-03-05,BTCUSDT,3.2586666666666664e-05,76847.478,,0.0,
2022-03-06,ETHUSDT,1.431333333333333e-05,509765.431,,0.0,
2022-03-06,BTCUSDT,1.431333333333333e-05,73240.33,,0.0,
2022-03-07,ETHUSDT,3.8593333333333335e-05,0.0,,0.0,
2022-03-07,BTCUSDT,3.8593333333333335e-05,0.0,,0.0,
2022-03-08,BTCUSDT,3.3253333333333336e-05,70037.413,,0.0,
2022-03-08,ETHUSDT,3.3253333333333336e-05,502302.473,,0.0,
2022-03-09,BTCUSDT,8.741333333333333e-05,73034.234,,0.0,
2022-03-09,ETHUSDT,8.741333333333333e-05,492818.725,,0.0,
2022-03-10,BTCUSDT,3.869666666666667e-05,70955.624,,0.0,
2022-03-10,ETHUSDT,3.869666666666667e-05,489803.274,,0.0,
2022-03-11,ETHUSDT,1.6143333333333332e-05,498118.35,,0.0,
2022-03-11,BTCUSDT,1.6143333333333332e-05,71083.776,,0.0,
2022-03-12,BTCUSDT,7.093333333333334e-05,72653.059,,0.0,
2022-03-12,ETHUSDT,7.093333333333334e-05,500018.211,,0.0,
2022-03-13,BTCUSDT,3.139333333333333e-05,76429.886,,0.0,
2022-03-13,ETHUSDT,3.139333333333333e-05,512912.899,,0.0,
2022-03-14,BTCUSDT,3.2160000000000004e-05,74839.792,,0.0,
2022-03-14,ETHUSDT,3.2160000000000004e-05,502549.139,,0.0,
2022-03-15,BTCUSDT,1.6076666666666668e-05,76195.344,,0.0,
2022-03-15,ETHUSDT,1.6076666666666668e-05,516437.189,,0.0,
2022-03-16,BTCUSDT,8.149e-05,74818.738,,0.0,
2022-03-16,ETHUSDT,8.149e-05,524475.888,,0.0,
2022-03-17,ETHUSDT,0.0001,534913.963,,0.0,
2022-03-17,BTCUSDT,0.0001,75348.247,,0.0,
2022-03-18,ETHUSDT,6.875333333333333e-05,548323.341,,0.0,
2022-03-18,BTCUSDT,6.875333333333333e-05,77123.401,,0.0,
2022-03-19,ETHUSDT,0.0001,539327.535,,0.0,
2022-03-19,BTCUSDT,0.0001,78156.351,,0.0,
2022-03-20,BTCUSDT,0.0001,76100.105,,0.0,
2022-03-20,ETHUSDT,0.0001,523472.549,,0.0,
2022-03-21,ETHUSDT,0.0001,537140.529,,0.0,
2022-03-21,BTCUSDT,0.0001,73762.683,,0.0,
2022-03-22,ETHUSDT,0.0001,565207.368,,0.0,
2022-03-22,BTCUSDT,0.0001,75363.683,,0.0,
2022-03-23,BTCUSDT,4.974e-05,73545.869,,0.0,
2022-03-23,ETHUSDT,4.974e-05,534328.743,,0.0,
2022-03-24,BTCUSDT,6.062333333333333e-05,81198.42,,0.0,
2022-03-24,ETHUSDT,6.062333333333333e-05,583107.74,,0.0,
2022-03-25,BTCUSDT,0.0001,80609.443,,0.0,
2022-03-25,ETHUSDT,0.0001,560671.42,,0.0,
2022-03-26,BTCUSDT,8.326333333333334e-05,80417.044,,0.0,
2022-03-26,ETHUSDT,8.326333333333334e-05,565851.106,,0.0,
2022-03-27,ETHUSDT,2.1983333333333333e-05,577799.443,,0.0,
2022-03-27,BTCUSDT,2.1983333333333333e-05,80643.599,,0.0,
2022-03-28,ETHUSDT,0.0001,543971.664,,0.0,
2022-03-28,BTCUSDT,0.0001,77354.761,,0.0,
2022-03-29,ETHUSDT,9.423e-05,527228.724,,0.0,
2022-03-29,BTCUSDT,9.423e-05,77389.656,,0.0,
2022-03-30,ETHUSDT,0.0001,522149.687,,0.0,
2022-03-30,BTCUSDT,0.0001,77359.872,,0.0,
2022-03-31,ETHUSDT,0.0001,512347.128,,0.0,
2022-03-31,BTCUSDT,0.0001,75206.3,,0.0,
2022-04-01,ETHUSDT,0.0001,517616.864,,0.0,
2022-04-01,BTCUSDT,0.0001,74114.411,,0.0,
2022-04-02,ETHUSDT,0.0001,516238.131,,0.0,
2022-04-02,BTCUSDT,0.0001,72658.429,,0.0,
2022-04-03,ETHUSDT,0.0001,544567.457,,0.0,
2022-04-03,BTCUSDT,0.0001,72533.531,,0.0,
2022-04-04,ETHUSDT,7.632e-05,524396.901,,0.0,
2022-04-04,BTCUSDT,7.632e-05,74220.635,,0.0,
2022-04-05,ETHUSDT,9.324666666666666e-05,525184.803,,0.0,
2022-04-05,BTCUSDT,9.324666666666666e-05,77614.591,,0.0,
2022-04-06,ETHUSDT,3.4233333333333363e-06,493985.829,,0.0,
2022-04-06,BTCUSDT,3.4233333333333363e-06,82297.396,,0.0,
2022-04-07,ETHUSDT,1.1646666666666666e-05,490368.867,,0.0,
2022-04-07,BTCUSDT,1.1646666666666666e-05,81695.992,,0.0,
2022-04-08,ETHUSDT,-1.059e-05,511721.801,,0.0,
2022-04-08,BTCUSDT,-1.059e-05,83370.118,,0.0,
2022-04-09,ETHUSDT,0.0001,506047.503,,0.0,
2022-04-09,BTCUSDT,0.0001,84030.839,,0.0,
2022-04-10,BTCUSDT,8.66e-05,85169.287,,0.0,
2022-04-10,ETHUSDT,8.66e-05,509675.916,,0.0,
2022-04-11,ETHUSDT,8.225333333333333e-05,493297.404,,0.0,
2022-04-11,BTCUSDT,8.225333333333333e-05,85088.233,,0.0,
2022-04-12,ETHUSDT,-7.802e-05,488960.605,,0.0,
2022-04-12,BTCUSDT,-7.802e-05,84213.749,,0.0,
2022-04-13,BTCUSDT,-5.305333333333333e-05,80680.8,,0.0,
2022-04-13,ETHUSDT,-5.305333333333333e-05,499726.49,,0.0,
2022-04-14,BTCUSDT,1.1400000000000003e-06,83536.399,,0.0,
2022-04-14,ETHUSDT,1.1400000000000003e-06,506536.3,,0.0,
2022-04-15,ETHUSDT,-5.410666666666667e-05,503848.007,,0.0,
2022-04-15,BTCUSDT,-5.410666666666667e-05,82239.482,,0.0,
2022-04-16,ETHUSDT,-6.179e-05,506697.482,,0.0,
2022-04-16,BTCUSDT,-6.179e-05,82208.454,,0.0,
2022-04-17,BTCUSDT,-3.469999999999999e-06,84289.666,,0.0,
2022-04-17,ETHUSDT,-3.469999999999999e-06,502990.975,,0.0,
2022-04-18,ETHUSDT,-7.612000000000001e-05,492100.97,,0.0,
2022-04-18,BTCUSDT,-7.612000000000001e-05,80157.177,,0.0,
2022-04-19,BTCUSDT,4.901666666666667e-05,80494.61,,0.0,
2022-04-19,ETHUSDT,4.901666666666667e-05,503855.29,,0.0,
2022-04-20,BTCUSDT,5.496666666666666e-05,80849.347,,0.0,
2022-04-20,ETHUSDT,5.496666666666666e-05,482311.576,,0.0,
2022-04-21,BTCUSDT,-7.841333333333334e-05,81246.47,,0.0,
2022-04-21,ETHUSDT,-7.841333333333334e-05,502040.454,,0.0,
2022-04-22,ETHUSDT,-0.00010573666666666667,521257.732,,0.0,
2022-04-22,BTCUSDT,-0.00010573666666666667,85781.307,,0.0,
2022-04-23,ETHUSDT,-4.970333333333333e-05,521496.28,,0.0,
2022-04-23,BTCUSDT,-4.970333333333333e-05,86843.042,,0.0,
2022-04-24,BTCUSDT,-4.800666666666666e-05,86588.642,,0.0,
2022-04-24,ETHUSDT,-4.800666666666666e-05,526027.619,,0.0,
2022-04-25,ETHUSDT,-0.00011087666666666667,510351.41,,0.0,
2022-04-25,BTCUSDT,-0.00011087666666666667,82931.395,,0.0,
2022-04-26,BTCUSDT,8.330333333333333e-05,87586.222,,0.0,
2022-04-26,ETHUSDT,8.330333333333333e-05,526076.901,,0.0,
2022-04-27,BTCUSDT,-0.00012447,83184.062,,0.0,
2022-04-27,ETHUSDT,-0.00012447,512730.028,,0.0,
2022-04-28,BTCUSDT,8.496666666666668e-06,79894.07,,0.0,
2022-04-28,ETHUSDT,8.496666666666668e-06,500370.324,,0.0,
2022-04-29,BTCUSDT,8.192666666666667e-05,83960.704,,0.0,
2022-04-29,ETHUSDT,8.192666666666667e-05,516003.822,,0.0,
2022-04-30,ETHUSDT,-6.611333333333333e-05,524056.477,,0.0,
2022-04-30,BTCUSDT,-6.611333333333333e-05,85769.286,,0.0,
2022-05-01,BTCUSDT,-9.266e-05,83347.748,,0.0,
2022-05-01,ETHUSDT,-9.266e-05,512910.166,,0.0,
2022-05-02,BTCUSDT,-1.0066666666666665e-05,81539.905,,0.0,
2022-05-02,ETHUSDT,-1.0066666666666665e-05,505589.077,,0.0,
2022-05-03,BTCUSDT,7.977666666666667e-05,91896.702,,0.0,
2022-05-03,ETHUSDT,7.977666666666667e-05,509669.046,,0.0,
2022-05-04,BTCUSDT,9.740333333333334e-05,83576.137,,0.0,
2022-05-04,ETHUSDT,9.740333333333334e-05,499277.703,,0.0,
2022-05-05,BTCUSDT,0.0001,90644.179,,0.0,
2022-05-05,ETHUSDT,0.0001,517996.442,,0.0,
2022-05-06,ETHUSDT,-3.3060000000000005e-05,520477.236,,0.0,
2022-05-06,BTCUSDT,-3.3060000000000005e-05,90216.893,,0.0,
2022-05-07,ETHUSDT,7.706e-05,524527.544,,0.0,
2022-05-07,BTCUSDT,7.706e-05,92013.275,,0.0,
2022-05-08,ETHUSDT,9.955666666666668e-05,534524.383,,0.0,
2022-05-08,BTCUSDT,9.955666666666668e-05,90295.322,,0.0,
2022-05-09,BTCUSDT,9.731000000000002e-05,86475.792,,0.0,
2022-05-09,ETHUSDT,9.731000000000002e-05,515851.195,,0.0,
2022-05-10,BTCUSDT,8.643666666666667e-05,81811.337,,0.0,
2022-05-10,ETHUSDT,8.643666666666667e-05,489678.465,,0.0,
2022-05-11,BTCUSDT,8.412333333333334e-05,78607.551,,0.0,
2022-05-11,ETHUSDT,8.412333333333334e-05,489419.722,,0.0,
2022-05-12,ETHUSDT,-0.00042309666666666667,471041.151,,0.0,
2022-05-12,BTCUSDT,-0.00042309666666666667,72310.825,,0.0,
2022-05-13,BTCUSDT,-9.285666666666667e-05,76925.408,,0.0,
